question,section,doc_id
What is your current job title and where do you work?,Work Experience,ae0142cf-58e4-408a-b2c3-950b9864f8e9
Can you tell me about the location of your current workplace?,Work Experience,ae0142cf-58e4-408a-b2c3-950b9864f8e9
When did you start your current position?,Work Experience,ae0142cf-58e4-408a-b2c3-950b9864f8e9
Are you currently working as a Data Scientist?,Work Experience,ae0142cf-58e4-408a-b2c3-950b9864f8e9
What company are you employed with at the moment?,Work Experience,ae0142cf-58e4-408a-b2c3-950b9864f8e9
Can you describe the type of solutions you developed related to AI and Machine Learning?,Work Experience,81b009b4-ca83-4f13-8549-684bceb6d767
What was your role in managing the lifecycle of machine learning projects?,Work Experience,81b009b4-ca83-4f13-8549-684bceb6d767
How did you ensure the security of sensitive data during your work?,Work Experience,81b009b4-ca83-4f13-8549-684bceb6d767
What tasks did you perform in the data collection and preparation phases?,Work Experience,81b009b4-ca83-4f13-8549-684bceb6d767
Can you elaborate on your experience with model training and evaluation in your projects?,Work Experience,81b009b4-ca83-4f13-8549-684bceb6d767
Can you describe the main objective of the model you developed for detecting header rows in tabular files?,Work Experience,e57bac5c-03ec-41a4-9335-9ed4737640a7
What techniques or methods did you use to achieve the accuracy of 96% in your model?,Work Experience,e57bac5c-03ec-41a4-9335-9ed4737640a7
How does your model's inference latency of under 250ms compare to prior systems you have worked with?,Work Experience,e57bac5c-03ec-41a4-9335-9ed4737640a7
Can you explain the significance of using sentence embeddings in your CNN-based model?,Work Experience,e57bac5c-03ec-41a4-9335-9ed4737640a7
What improvements in context understanding does your model offer over the previous system?,Work Experience,e57bac5c-03ec-41a4-9335-9ed4737640a7
Can you describe a project where you worked with PyTorch models?,Work Experience,3e1e2fd4-45c5-47dd-b4e6-f68835f53f6d
How did you contribute to performance testing in your previous role?,Work Experience,3e1e2fd4-45c5-47dd-b4e6-f68835f53f6d
What was your experience collaborating with engineering teams in your last job?,Work Experience,3e1e2fd4-45c5-47dd-b4e6-f68835f53f6d
Can you explain your role in deploying models within a production pipeline?,Work Experience,3e1e2fd4-45c5-47dd-b4e6-f68835f53f6d
What challenges did you face when integrating different technologies like PyTorch and Java?,Work Experience,3e1e2fd4-45c5-47dd-b4e6-f68835f53f6d
Can you describe the approach you took to improve the performance of LLaMA 3 for data classification?,Work Experience,1eceaa59-8ffd-44fc-bc14-e5c5f49e1a1a
What specific techniques or methods did you use to achieve the classification results mentioned in your experience?,Work Experience,1eceaa59-8ffd-44fc-bc14-e5c5f49e1a1a
How did you ensure the model could adapt to classify new data types during inference?,Work Experience,1eceaa59-8ffd-44fc-bc14-e5c5f49e1a1a
